"semel_city","city","county","napa","semel_napa","ezor","semel_ezor","שם.ישוב","בזב","מצביעים","פסולים","כשרים","אמת","ג","ודעם","ז","זך","זץ","טב","י","יז","ינ","יף","יק","יר","כ","כן","ל","מחל","נ","נז","ני","נץ","נק","פה","ףז","ץ","ק","קי","קך","קץ","שס"
679,"אביאל","חיפה","חדרה",32,"חדרה",8,"אביאל",519,413,0,413,49,4,6,1,0,0,9,0,0,0,0,0,0,0,0,7,107,1,0,0,1,0,225,0,0,0,0,0,0,3
1115,"אביבים","הצפון","צפת",21,"צפת - כנרת",3,"אביבים",332,246,0,246,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,4,0,0,0,0,0,0,61
819,"אביגדור","הדרום","אשקלון",61,"אשקלון",16,"אביגדור",617,488,4,484,62,0,0,0,0,0,31,0,0,0,0,0,0,0,0,4,55,0,0,0,0,0,326,0,0,0,0,0,0,6
175,"אביחיל","המרכז","השרון",41,"השרון",9,"אביחיל",983,734,1,733,82,2,7,0,0,0,15,0,0,0,0,0,0,0,0,13,115,0,0,0,1,0,491,0,0,0,0,0,0,7
2052,"אביטל","הצפון","יזרעאל",23,"יזרעאל",4,"אביטל",417,330,0,330,4,10,0,0,0,0,15,0,0,0,0,0,0,0,1,4,240,0,0,0,4,0,29,0,0,0,0,0,0,23
1070,"אביעזר","ירושלים","ירושלים",11,"ירושלים",1,"אביעזר",577,445,0,445,32,1,4,1,0,0,33,0,0,0,0,0,0,0,0,21,196,0,0,0,3,0,139,0,0,0,0,0,0,15
1220,"אבירים","הצפון","עכו",24,"עכו",5,"אבירים",210,160,1,159,58,0,5,0,0,0,2,0,0,0,0,0,0,0,0,2,7,0,0,0,1,0,82,0,0,0,0,0,0,2
182,"אבן יהודה","המרכז","השרון",41,"השרון",9,"אבן יהודה",9935,7569,27,7542,725,51,28,9,0,0,202,0,1,1,0,0,0,0,2,190,1862,2,0,1,19,0,4298,1,0,1,0,0,0,149
1081,"אבן מנחם","הצפון","עכו",24,"עכו",5,"אבן מנחם",281,193,0,193,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,125,0,0,0,1,0,33,0,0,0,0,0,0,20
783,"אבן ספיר","ירושלים","ירושלים",11,"ירושלים",1,"אבן ספיר",497,351,2,349,19,0,0,0,0,0,13,0,0,0,0,0,0,0,0,10,219,0,0,0,2,0,73,0,0,0,0,0,0,13
400,"אבן שמואל","הדרום","אשקלון",61,"אשקלון",16,"אבן שמואל",912,787,2,785,4,27,0,0,0,0,299,0,0,0,0,0,0,0,0,0,348,1,0,0,6,0,13,0,0,0,0,0,0,87
4011,"אבני איתן","הצפון","גולן",29,"צפת - כנרת",3,"אבני איתן",402,311,0,311,4,5,1,0,0,0,158,0,0,0,0,0,1,0,0,1,92,0,0,0,17,0,23,0,0,0,0,0,0,9
1311,"אבשלום","הדרום","באר שבע",62,"באר שבע",17,"אבשלום",250,158,1,157,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,74,41,1,0,0,0,0,35,0,0,0,0,0,0,0
113,"אדירים","הצפון","יזרעאל",23,"יזרעאל",4,"אדירים",233,183,0,183,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,110,0,0,0,2,0,10,0,0,0,0,0,0,58
1068,"אדמית","הצפון","עכו",24,"עכו",5,"אדמית",354,195,0,195,56,0,14,0,0,0,3,0,0,0,0,0,0,0,0,18,36,1,0,0,0,0,65,1,0,0,0,0,0,1
1123,"אדרת","ירושלים","ירושלים",11,"ירושלים",1,"אדרת",570,409,1,408,13,4,0,0,0,0,49,0,0,0,0,0,0,0,0,1,238,1,0,0,3,0,53,0,0,0,0,0,0,46
446,"אודים","המרכז","השרון",41,"השרון",9,"אודים",807,615,1,614,84,1,4,0,0,0,9,0,0,0,0,0,0,0,0,19,89,0,0,1,1,0,396,1,0,0,0,0,0,9
4010,"אודם","הצפון","גולן",29,"צפת - כנרת",3,"אודם",121,89,0,89,10,0,1,1,0,0,5,0,0,0,0,0,0,0,0,2,14,0,0,0,1,0,54,0,0,0,0,0,0,1
1046,"אוהד","הדרום","באר שבע",62,"באר שבע",17,"אוהד",267,185,0,185,6,0,2,0,0,0,16,0,0,0,0,0,0,0,0,1,81,0,0,0,0,0,73,0,0,0,0,0,0,6
2710,"אום אל-פחם","חיפה","חדרה",32,"חדרה",8,"אום אלפחם",35711,22535,126,22409,88,1,22079,1,1,0,7,1,1,18,1,1,4,2,3,4,64,2,2,0,3,12,65,4,6,3,7,4,13,12
2024,"אום אל-קוטוף","חיפה","חדרה",32,"חדרה",8,"אום אלקוטוף",717,580,1,579,10,0,558,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0
1358,"אום בטין","הדרום","באר שבע",62,"באר שבע",17,"אום בטין",2011,1158,8,1150,3,0,1125,0,0,0,1,0,1,1,0,0,0,0,0,0,5,0,0,0,1,1,5,0,0,0,1,3,0,3
1108,"אומן","הצפון","יזרעאל",23,"יזרעאל",4,"אומן",367,231,0,231,5,4,0,0,0,0,8,0,0,0,0,0,0,0,1,31,135,0,0,0,0,0,41,0,0,0,0,0,0,6
680,"אומץ","המרכז","השרון",41,"השרון",9,"אומץ",512,388,0,388,56,0,1,0,0,0,4,0,0,0,0,0,0,0,0,6,57,0,0,0,0,0,258,0,0,0,0,0,0,6
31,"אופקים","הדרום","באר שבע",62,"באר שבע",17,"אופקים",21810,14655,109,14546,243,2198,18,7,0,0,572,3,4,1,1,2,1,0,2,1118,5881,5,1,0,90,0,1012,1,1,3,0,0,4,3378
1294,"אור הגנוז","הצפון","צפת",21,"צפת - כנרת",3,"אור הגנוז",281,184,0,184,2,83,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31,0,0,0,6,0,1,0,0,0,0,0,0,58
67,"אור הנר","הדרום","אשקלון",61,"אשקלון",16,"אור הנר",616,469,0,469,112,0,3,2,0,0,5,0,0,0,0,0,0,0,0,11,32,0,1,0,0,0,302,0,0,0,0,0,0,1
1020,"אור עקיבא","חיפה","חדרה",32,"חדרה",8,"אור עקיבא",15949,10300,63,10237,195,137,12,7,1,0,322,1,0,1,0,1,2,1,3,1151,5793,7,0,1,53,0,1418,0,0,2,1,1,5,1122
780,"אורה","ירושלים","ירושלים",11,"ירושלים",1,"אורה",840,602,1,601,39,4,0,0,0,0,26,0,0,0,0,0,0,0,0,13,279,0,0,0,6,0,178,0,0,0,0,0,0,56
2012,"אורות","הדרום","אשקלון",61,"אשקלון",16,"אורות",437,319,2,317,44,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,43,0,0,0,0,0,212,0,0,0,0,0,0,4
4013,"אורטל","הצפון","גולן",29,"צפת - כנרת",3,"אורטל",248,177,0,177,31,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,110,0,0,0,0,0,0,2
403,"אורים","הדרום","באר שבע",62,"באר שבע",17,"אורים",448,238,1,237,67,1,5,0,0,0,1,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,142,1,0,0,0,0,0,0
278,"אושה","חיפה","חיפה",31,"חיפה - כרמל",7,"אושה",368,260,0,260,48,0,4,0,0,0,4,0,0,0,0,0,0,0,0,6,20,0,0,0,1,0,177,0,0,0,0,0,0,0
1157,"אחווה","הדרום","אשקלון",61,"אשקלון",16,"אחווה",185,143,0,143,13,0,0,0,0,0,3,0,0,0,1,0,0,0,0,7,28,0,1,0,0,0,88,0,0,0,0,0,0,2
821,"אחוזם","הדרום","אשקלון",61,"אשקלון",16,"אחוזם",396,277,0,277,4,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,190,0,0,0,2,0,11,0,0,0,0,0,0,63
1330,"אחוזת ברק","הצפון","יזרעאל",23,"יזרעאל",4,"אחוזת ברק",1713,1304,2,1302,87,2,0,3,0,0,46,0,0,0,0,0,0,0,1,83,535,0,0,0,3,0,516,0,0,0,0,0,0,26
785,"אחיהוד","הצפון","עכו",24,"עכו",5,"אחיהוד",659,512,6,506,4,8,0,0,0,0,45,0,0,0,0,0,0,0,1,3,340,0,0,0,5,0,29,0,0,0,0,0,0,71
850,"אחיטוב","המרכז","השרון",41,"השרון",9,"אחיטוב",714,546,4,542,28,2,3,0,0,0,14,0,0,0,0,0,0,0,0,14,201,1,0,0,0,0,230,0,0,0,0,0,0,49
804,"אחיסמך","המרכז","רמלה",43,"רמלה",11,"אחיסמך",878,744,2,742,8,5,0,0,0,0,12,0,0,0,0,0,0,0,0,3,512,0,0,0,7,0,26,0,0,0,0,0,0,169
797,"אחיעזר","המרכז","רמלה",43,"רמלה",11,"אחיעזר",1178,1026,4,1022,0,33,0,0,0,0,93,0,0,0,0,0,0,0,0,1,409,0,0,0,2,0,13,0,0,0,0,0,0,471
965,"אטרש (שבט)","הדרום","באר שבע",62,"באר שבע",17,"אטרש שבט",1585,514,3,511,1,0,480,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,0,0,18,0,1,0,1,0,0,1
338,"איבים","הדרום","אשקלון",61,"אשקלון",16,"איבים",126,35,0,35,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,1,0,0,0,0,0,0,3
716,"אייל","המרכז","פתח תקווה",42,"פתח תקווה",10,"אייל",391,308,1,307,95,0,2,3,0,0,2,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,195,0,0,0,0,0,0,0
77,"איילת השחר","הצפון","צפת",21,"צפת - כנרת",3,"איילת השחר",818,587,2,585,124,2,2,2,0,0,11,0,1,0,0,0,0,0,0,20,50,0,0,1,0,0,370,1,0,0,0,0,0,1
294,"אילון","הצפון","עכו",24,"עכו",5,"אילון",819,621,2,619,187,1,9,2,0,0,17,0,0,0,0,0,0,0,0,13,92,1,0,0,0,0,296,0,0,0,0,0,0,1
1126,"אילות","הדרום","באר שבע",62,"באר שבע",17,"אילות",253,164,0,164,53,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,88,0,0,0,0,0,0,0
49,"אילנייה","הצפון","כנרת",22,"צפת - כנרת",3,"אילניה",462,305,0,305,20,1,0,1,0,0,16,0,0,0,0,0,0,0,0,10,115,0,0,0,2,0,137,0,1,0,0,0,0,2
2600,"אילת","הדרום","באר שבע",62,"באר שבע",17,"אילת",50714,22754,118,22636,851,185,237,19,1,0,728,3,1,1,2,1,2,5,6,1605,11250,16,5,1,102,2,6163,11,3,5,1,3,5,1422
1336,"אירוס","המרכז","רחובות",44,"רחובות",12,"אירוס",410,309,0,309,24,3,0,0,0,0,5,0,0,0,0,0,0,0,0,7,96,0,0,0,0,0,173,0,0,0,0,0,0,1
37,"איתן","הדרום","אשקלון",61,"אשקלון",16,"איתן",350,274,1,273,1,14,0,0,0,0,22,0,0,0,0,0,0,0,0,0,176,1,0,0,5,0,6,0,0,0,0,0,0,48
478,"אכסאל","הצפון","יזרעאל",23,"יזרעאל",4,"אכסאל",9637,6553,41,6512,26,2,6387,0,0,0,1,0,0,2,0,0,0,0,0,0,37,0,1,0,0,2,34,1,1,4,0,3,2,9
1359,"אל סייד","הדרום","באר שבע",62,"באר שבע",17,"אל סייד",1762,889,10,879,53,2,699,0,0,0,1,0,1,0,2,0,0,0,0,1,21,0,1,1,1,4,86,0,1,2,0,1,1,1
1316,"אל -עריאן","חיפה","חדרה",32,"חדרה",8,"אלעריאן",127,104,1,103,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4003,"אל -רום","הצפון","גולן",29,"צפת - כנרת",3,"אלרום",343,252,2,250,61,0,1,0,0,0,9,0,0,0,0,0,0,0,0,19,38,1,0,0,0,0,121,0,0,0,0,0,0,0
1145,"אלומה","הדרום","אשקלון",61,"אשקלון",16,"אלומה",330,280,0,280,0,74,0,0,0,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,182
330,"אלומות","הצפון","כנרת",22,"צפת - כנרת",3,"אלומות",300,210,0,210,50,1,0,0,0,0,8,0,0,0,0,0,0,0,0,4,24,0,0,0,1,0,119,0,0,0,0,0,0,3
1182,"אלון הגליל","הצפון","יזרעאל",23,"יזרעאל",4,"אלון הגליל",828,614,1,613,151,0,3,0,0,0,11,0,0,0,0,0,0,0,0,8,33,0,0,0,0,0,407,0,0,0,0,0,0,0
429,"אלוני אבא","הצפון","יזרעאל",23,"יזרעאל",4,"אלוני אבא",682,530,0,530,85,1,3,1,0,0,11,0,0,0,0,0,0,0,0,8,53,0,0,0,0,0,367,0,0,0,0,0,0,1
4017,"אלוני הבשן","הצפון","גולן",29,"צפת - כנרת",3,"אלוני הבשן",221,152,0,152,3,1,0,1,0,0,78,0,0,0,0,0,0,0,0,0,61,0,0,0,2,0,4,0,0,0,0,0,0,2
868,"אלוני יצחק","חיפה","חדרה",32,"חדרה",8,"אלוני יצחק",120,23,0,23,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,13,0,0,0,0,0,0,0
285,"אלונים","הצפון","יזרעאל",23,"יזרעאל",4,"אלונים",511,376,1,375,86,0,1,0,0,0,5,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,254,0,0,0,0,1,0,1
1365,"אליאב","הדרום","אשקלון",61,"אשקלון",16,"אליאב",224,197,1,196,24,0,1,0,0,0,59,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,88,0,0,0,0,0,0,0
41,"אליכין","המרכז","השרון",41,"השרון",9,"אליכין",2579,1958,2,1956,73,41,1,2,0,0,83,0,0,0,0,0,0,0,0,29,1071,0,1,0,13,0,363,1,0,0,0,0,1,277
4002,"אלי-עד","הצפון","גולן",29,"צפת - כנרת",3,"אליעד",307,222,3,219,26,1,1,0,0,0,16,0,0,0,0,0,0,0,0,14,33,1,0,0,2,0,122,0,0,0,0,0,0,3
1248,"אליפז","הדרום","באר שבע",62,"באר שבע",17,"אליפז",113,74,1,73,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,49,0,0,0,0,0,0,0
730,"אליפלט","הצפון","צפת",21,"צפת - כנרת",3,"אליפלט",468,349,1,348,5,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,262,0,0,0,3,0,37,0,0,0,0,0,0,30
682,"אליקים","הצפון","יזרעאל",23,"יזרעאל",4,"אליקים",586,423,3,420,10,20,0,0,0,0,13,0,0,0,0,0,0,0,0,5,261,0,0,0,5,0,28,0,0,0,0,0,0,78
204,"אלישיב","המרכז","השרון",41,"השרון",9,"אלישיב",469,350,0,350,12,2,0,0,0,0,26,0,0,0,0,0,0,0,1,1,191,0,0,0,3,0,87,0,0,0,0,0,0,27
841,"אלישמע","המרכז","פתח תקווה",42,"פתח תקווה",10,"אלישמע",812,632,5,627,22,2,2,2,0,0,30,0,0,0,0,0,0,0,0,4,313,1,0,0,2,0,185,1,0,0,0,0,0,63
1125,"אלמגור","הצפון","כנרת",22,"צפת - כנרת",3,"אלמגור",294,219,0,219,26,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,7,0,0,0,2,0,169,0,0,0,0,0,0,0
1309,"אלעד","המרכז","פתח תקווה",42,"פתח תקווה",10,"אלעד",20909,17906,90,17816,11,6571,0,5,0,0,696,0,0,0,0,0,0,1,0,6,1380,0,0,1,116,0,44,0,0,0,0,0,7,8978
603,"אלקוש","הצפון","עכו",24,"עכו",5,"אלקוש",242,148,1,147,8,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,85,0,0,0,0,0,28,0,0,0,0,0,0,21
772,"אמונים","הדרום","אשקלון",61,"אשקלון",16,"אמונים",713,512,1,511,22,4,1,0,0,0,13,0,0,0,0,0,0,0,0,17,204,0,0,0,2,0,203,0,0,0,0,0,0,45
1064,"אמירים","הצפון","צפת",21,"צפת - כנרת",3,"אמירים",609,409,2,407,86,3,13,2,0,0,44,0,0,0,0,0,0,0,0,7,43,2,0,0,0,0,203,0,0,0,0,0,0,4
1253,"אמנון","הצפון","צפת",21,"צפת - כנרת",3,"אמנון",305,224,0,224,18,3,0,0,0,0,14,0,0,0,0,0,0,0,0,15,99,1,0,0,1,0,63,0,0,0,0,0,0,10
23,"אמציה","הדרום","אשקלון",61,"אשקלון",16,"אמציה",185,133,0,133,4,3,0,0,0,0,49,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,30,0,0,0,0,0,0,3
4012,"אניעם","הצפון","גולן",29,"צפת - כנרת",3,"אניעם",445,272,0,272,18,1,1,0,0,0,11,0,0,0,0,0,0,0,0,4,86,0,0,0,2,0,144,0,0,0,0,0,0,5
960,"אסד (שבט)","הדרום","באר שבע",62,"באר שבע",17,"אסד שבט",493,131,1,130,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,7,0,1,1,0,0,0,0
529,"אעבלין","הצפון","עכו",24,"עכו",5,"אעבלין",9104,6232,49,6183,144,2,5655,1,0,0,2,0,0,3,0,0,0,1,3,115,65,0,2,1,1,2,167,0,2,2,3,2,5,5
963,"אעצם (שבט)","הדרום","באר שבע",62,"באר שבע",17,"אעצם שבט",4690,2036,5,2031,3,0,1994,0,0,0,2,1,0,0,1,0,0,0,0,1,2,0,1,1,1,1,8,0,3,1,2,1,5,3
4301,"אפיק","הצפון","גולן",29,"צפת - כנרת",3,"אפיק",259,176,0,176,34,0,1,0,0,0,5,0,0,0,0,0,0,0,0,11,21,0,0,0,3,0,101,0,0,0,0,0,0,0
176,"אפיקים","הצפון","כנרת",22,"צפת - כנרת",3,"אפיקים",1086,733,2,731,213,0,7,0,0,0,10,0,0,0,0,1,0,1,0,13,46,0,0,0,2,1,433,1,0,0,0,0,0,3
313,"אפק","הצפון","עכו",24,"עכו",5,"אפק",507,388,3,385,78,0,4,0,0,0,9,0,0,0,0,0,0,0,0,6,23,0,0,0,0,0,263,0,0,0,0,0,0,2
701,"ארבל","הצפון","כנרת",22,"צפת - כנרת",3,"ארבל",452,335,0,335,31,3,0,0,0,0,8,0,0,0,0,0,0,0,0,12,132,1,0,0,1,0,141,0,0,0,0,0,0,6
714,"ארז","הדרום","אשקלון",61,"אשקלון",16,"ארז",441,316,3,313,103,0,1,0,0,0,6,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,171,0,0,0,0,0,0,1
1324,"ארסוף","המרכז","השרון",41,"השרון",9,"ארסוף",123,72,1,71,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,41,0,0,0,0,0,0,0
71,"אשבול","הדרום","באר שבע",62,"באר שבע",17,"אשבול",420,322,4,318,14,2,0,0,0,0,19,0,0,0,0,0,1,0,0,6,178,0,0,0,1,0,65,0,0,0,1,0,0,31
70,"אשדוד","הדרום","אשקלון",61,"אשקלון",16,"אשדוד",179046,118313,694,117619,2109,13731,64,58,8,0,3124,9,6,4,5,8,11,8,27,19414,43073,54,10,7,400,11,18374,32,22,20,9,10,17,16994
199,"אשדות יעקב (איחוד)","הצפון","כנרת",22,"צפת - כנרת",3,"אשדות יעקב  איחוד",658,471,0,471,86,0,1,0,0,0,19,0,0,0,0,0,0,0,0,13,55,0,2,1,1,0,291,1,0,0,0,0,0,1
188,"אשדות יעקב (מאוחד)","הצפון","כנרת",22,"צפת - כנרת",3,"אשדות יעקב  מאוחד",520,362,0,362,73,0,0,0,0,0,20,0,0,0,0,0,0,0,0,17,58,0,0,0,0,0,191,0,0,0,0,0,1,2
1188,"אשחר","הצפון","עכו",24,"עכו",5,"אשחר",620,467,1,466,91,2,2,0,0,0,100,0,0,0,0,0,0,0,0,17,79,2,0,0,2,0,169,0,0,0,0,0,0,2
2021,"אשל הנשיא","הדרום","באר שבע",62,"באר שבע",17,"אשל הנשיא",114,73,0,73,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,27,0,0,0,0,0,0,0
1152,"אשלים","הדרום","באר שבע",62,"באר שבע",17,"אשלים",409,300,1,299,40,3,2,0,0,0,22,0,0,0,0,0,0,0,0,18,82,0,0,0,2,0,127,0,0,0,0,0,0,3
7100,"אשקלון","הדרום","אשקלון",61,"אשקלון",16,"אשקלון",114443,72538,466,72072,1592,1268,70,54,8,0,3001,15,6,0,2,7,10,14,19,11627,34677,40,10,7,403,4,11749,22,12,30,14,13,20,7378
1256,"אשרת","הצפון","עכו",24,"עכו",5,"אשרת",429,310,1,309,19,4,1,0,0,0,12,0,0,0,0,0,0,0,1,19,176,0,0,0,0,0,66,0,0,0,0,0,0,11
740,"אשתאול","ירושלים","ירושלים",11,"ירושלים",1,"אשתאול",749,605,2,603,35,20,1,1,0,0,29,0,0,0,0,0,0,0,0,7,306,0,0,0,6,0,101,0,0,0,0,0,0,97
6000,"באקה אל-גרביה","חיפה","חדרה",32,"חדרה",8,"באקה אלגרביה",19193,11879,67,11812,65,0,11553,0,0,0,11,0,2,14,1,3,0,1,1,0,21,3,10,1,0,13,73,1,2,2,1,0,5,29
21,"באר אורה","הדרום","באר שבע",62,"באר שבע",17,"באר אורה",593,446,1,445,34,2,6,0,0,0,12,0,0,0,0,0,0,0,0,38,139,0,1,0,0,0,197,0,0,0,0,0,0,16
1376,"באר גנים","הדרום","אשקלון",61,"אשקלון",16,"באר גנים",904,759,2,757,8,15,0,0,0,0,173,0,0,0,0,0,0,0,0,3,411,0,0,0,16,0,43,0,0,0,0,0,0,88
155,"באר טוביה","הדרום","אשקלון",61,"אשקלון",16,"באר טוביה",808,643,2,641,76,0,2,0,0,0,14,0,0,0,0,0,0,0,0,11,76,0,0,0,1,0,453,0,0,0,0,0,0,8
2530,"באר יעקב","המרכז","רמלה",43,"רמלה",11,"באר יעקב",16522,12689,54,12635,453,191,15,10,0,0,393,0,0,0,0,0,0,1,4,515,5490,5,2,1,48,1,4489,0,1,1,2,3,3,1007
9000,"באר שבע","הדרום","באר שבע",62,"באר שבע",17,"באר שבע",161968,100051,785,99266,3329,1360,770,87,10,0,4442,29,9,2,5,8,8,14,24,11804,49801,76,5,7,457,9,17984,26,9,35,19,16,61,8860
450,"בארות יצחק","המרכז","פתח תקווה",42,"פתח תקווה",10,"בארות יצחק",396,280,5,275,13,2,2,1,0,0,126,0,0,0,0,0,0,0,0,3,57,2,0,0,1,0,66,0,1,0,0,0,0,1
697,"בארותיים","המרכז","השרון",41,"השרון",9,"בארותיים",700,543,1,542,70,4,2,0,0,0,21,0,0,0,0,0,0,0,0,13,77,1,2,0,0,1,349,0,0,0,0,0,0,2
399,"בארי","הדרום","באר שבע",62,"באר שבע",17,"בארי",852,669,0,669,291,1,9,0,0,0,9,0,0,0,0,0,0,0,0,14,27,0,0,0,0,0,318,0,0,0,0,0,0,0
559,"בוסתן הגליל","הצפון","עכו",24,"עכו",5,"בוסתן הגליל",713,551,1,550,46,0,0,2,0,0,9,0,0,0,0,0,0,0,0,11,182,0,0,0,1,0,279,0,0,0,0,0,0,20
4001,"בוקעאתא","הצפון","גולן",29,"צפת - כנרת",3,"בוקעאתא",567,76,0,76,12,0,2,0,0,0,16,0,0,0,0,0,0,0,1,4,18,0,0,0,0,0,20,0,0,0,0,0,0,3
698,"בורגתה","המרכז","השרון",41,"השרון",9,"בורגתה",803,617,0,617,48,0,3,0,0,0,13,0,0,0,0,0,1,0,0,12,131,0,0,0,1,0,392,0,0,0,0,0,0,16
2043,"בחן","המרכז","השרון",41,"השרון",9,"בחן",591,461,0,461,85,0,4,0,0,0,7,0,0,0,0,0,0,0,0,12,37,0,0,0,0,0,315,0,0,0,0,0,0,1
762,"בטחה","הדרום","באר שבע",62,"באר שבע",17,"בטחה",609,476,3,473,5,7,0,0,0,0,32,0,0,0,0,0,0,0,0,2,300,0,0,0,3,0,34,0,0,0,0,0,0,90
234,"ביצרון","הדרום","אשקלון",61,"אשקלון",16,"ביצרון",889,715,4,711,74,4,2,0,0,0,14,0,0,0,0,0,0,0,0,12,107,0,0,0,2,0,494,0,0,0,0,0,0,2
998,"ביר אל-מכסור","הצפון","עכו",24,"עכו",5,"ביר אלמכסור",6487,3582,21,3561,163,0,2876,0,0,0,3,0,0,3,0,0,0,1,0,8,140,0,1,0,2,3,349,2,3,0,1,0,3,3
1348,"ביר הדאג'","הדרום","באר שבע",62,"באר שבע",17,"ביר הדאג",1213,924,3,921,0,0,910,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,2,1,0
368,"בירייה","הצפון","צפת",21,"צפת - כנרת",3,"ביריה",596,429,0,429,10,18,0,0,0,0,29,0,0,0,0,0,0,0,0,3,261,0,0,0,4,0,36,0,0,0,0,0,0,68
317,"בית אורן","חיפה","חדרה",32,"חדרה",8,"בית אורן",321,208,1,207,50,1,1,1,0,0,4,0,0,0,0,0,0,0,0,1,22,0,0,0,1,0,125,0,0,0,0,1,0,0
